Query_38321,TRY75264.1,52.676,355,166,1,272,624,194,548,1.76e-119,373,73.52
Query_38321,KAF2354193.1,54.017,361,163,3,263,621,655,1014,9.93e-117,379,72.58
Query_38321,KAG7156541.1,51.482,371,177,3,263,631,179,548,1.28e-108,345,67.12
Query_38321,KAG7156541.1,39.655,116,52,2,77,192,99,196,1.06e-06,60.1,55.17
Query_38321,KAG1663790.1,49.862,363,181,1,263,625,168,529,3.14e-107,341,67.77
Query_38321,KAG1663790.1,30.769,104,51,3,90,192,102,185,0.024,46.2,51.92
Query_38321,QVD39181.1,48.913,368,185,3,271,637,46,411,9.89e-107,335,67.39
Query_38321,ROT75079.1,51.801,361,171,3,267,625,114,473,1.18e-106,338,69.25
Query_38321,KAG1694105.1,49.862,363,181,1,263,625,619,980,7.73e-104,344,67.77
Query_38321,KAG1694105.1,34.211,76,38,1,90,165,553,616,0.016,47.0,56.58
Query_38321,KAG1663789.1,48.794,373,180,3,263,625,175,546,1.13e-103,332,66.22
Query_38321,KAG1694104.1,49.862,363,181,1,263,625,626,987,1.18e-103,344,67.77
Query_38321,KAG1694103.1,48.794,373,180,3,263,625,626,997,2.21e-100,335,66.22
Query_38321,KAI5736882.1,48.361,366,174,4,274,624,164,529,1.27e-99,322,65.57
Query_38321,KAI5736882.1,26.667,150,79,3,16,165,33,151,0.020,46.2,44.00
Query_38321,KAI5704272.1,48.501,367,172,5,274,624,164,529,1.27e-99,322,65.94
Query_38321,KAI5704272.1,26.667,150,79,3,16,165,33,151,0.019,46.6,44.00
Query_38321,KAI5704273.1,48.626,364,172,4,276,624,133,496,1.52e-99,320,65.66
Query_38321,ODN02785.1,45.304,362,189,4,271,625,115,474,4.19e-99,319,67.68
Query_38321,ODN02785.1,50.000,56,16,1,109,164,60,103,4.21e-04,51.6,64.29
Query_38321,CAD7578322.1,47.383,363,187,3,270,631,22,381,6.76e-99,314,67.22
Query_38321,GFG39584.1,50.571,350,170,2,275,621,129,478,2.61e-97,313,68.00
Query_38321,RXG52054.1,48.159,353,156,3,263,614,226,552,1.85e-96,313,67.42
Query_38321,RXG52054.1,33.758,157,81,4,41,192,105,243,1.30e-08,66.2,49.68
Query_38321,CAD7247776.1,46.866,367,191,3,262,625,130,495,4.53e-96,312,64.85
Query_38321,KAA0203922.1,51.899,316,141,3,261,566,29,343,5.97e-96,305,68.99
Query_38321,CAD7456214.1,43.091,427,229,6,210,631,47,464,1.11e-95,308,61.83
Query_38321,CAH0753751.1,46.791,374,188,4,275,637,174,547,1.13e-93,306,63.64
Query_38321,KDR19311.1,47.765,358,185,2,271,627,175,531,2.55e-93,305,66.20
Query_38321,CAD7241908.1,46.073,382,181,7,276,636,147,524,6.09e-93,303,64.14
Query_38321,KAG0726903.1,48.118,372,161,4,262,629,191,534,3.91e-92,301,64.52
Query_38321,KAG0726903.1,43.182,88,38,1,77,164,112,187,5.20e-05,54.7,55.68
Query_38321,MCL4129876.1,50.000,326,155,4,309,627,2,326,5.99e-91,291,69.33
Query_38321,PNF40993.1,44.293,368,202,3,262,628,248,613,9.47e-91,301,63.32
Query_38321,KAG1663791.1,46.524,374,188,3,263,625,175,547,1.25e-90,298,63.37
Query_38321,KAF4525946.1,47.875,353,182,2,274,625,145,496,1.94e-90,296,66.01
Query_38321,CAD7249112.1,44.663,356,193,3,272,624,141,495,4.36e-90,296,65.45
Query_38321,PSN35039.1,45.312,384,181,3,271,626,20,402,5.08e-90,292,61.46
Query_38321,KAA0201437.1,46.467,368,171,6,261,621,84,432,6.41e-90,293,64.40
Query_38321,CAD7274489.1,46.448,366,191,4,265,627,123,486,1.03e-89,294,64.75
Query_38321,CAD7274489.1,33.628,113,47,4,63,164,22,117,0.044,45.1,46.90
Query_38321,CAD7622824.1,43.968,373,204,3,266,638,342,709,1.74e-89,300,63.54
Query_38321,CAD7413317.1,47.432,331,170,3,302,631,1,328,6.60e-89,286,67.37
Query_38321,CAH1388393.1,47.838,370,187,4,261,627,156,522,1.22e-88,293,66.76
Query_38321,CAH0381819.1,47.191,356,183,3,274,625,170,524,2.44e-88,291,63.48
Query_38321,MCL4150668.1,47.123,365,186,4,263,621,17,380,3.64e-88,286,68.22
Query_38321,GFG28126.1,46.281,363,191,3,270,631,100,459,5.84e-88,289,64.19
Query_38321,KAG8223872.1,47.989,373,166,6,275,621,102,472,9.39e-88,289,61.66
Query_38321,KAG1694102.1,46.524,374,188,3,263,625,626,998,1.10e-87,301,63.37
Query_38321,KAJ4436481.1,44.444,351,193,2,275,624,250,599,2.16e-87,292,63.25
Query_38321,KFM61102.1,45.658,357,191,3,274,628,126,481,4.53e-87,288,63.31


