emb|CAB3359964.1|
emb|CAB3362979.1|
emb|CAB3360254.1|
emb|CAB3360255.1|
emb|CAB3360256.1|
emb|CAB3364807.1|
emb|CAB3364808.1|
emb|CAB3360257.1|
emb|CAB3360258.1|
gb|TRY75264.1|
emb|CAG5095999.1|
gb|KAG8042441.1|
emb|CAG5097411.1|
emb|CAH2066547.1|
emb|CAH2066549.1|
emb|CAH2066551.1|
emb|CAH2076751.1|
emb|CAH2076753.1|
emb|CAH2066545.1|
emb|CAH2066543.1|
emb|CAH2066543.1|
emb|CAH2066541.1|
emb|CAH2066541.1|
gb|KAG7201324.1|
gb|KAG7212671.1|
emb|CAH0726637.1|
emb|CAH0714536.1|
emb|CAH0714537.1|
emb|CAH0726632.1|
emb|CAH0726633.1|
emb|CAH0726631.1|
KAI2808467.1
gb|EZA53303.1|
KAA0203922.1
KAA0201437.1
KAA0184655.1
KAA0184656.1
gb|KAF6215493.1|
gb|KAF6214444.1|
gb|KAF6215470.1|
gb|KAF6211782.1|
gb|KAF6215170.1|
gb|KAF6205445.1|
gb|KAF6203717.1|
gb|KAF6201166.1|
gb|KAF6214425.1|
gb|KAF6215665.1|
gb|KAF6206475.1|
gb|KAF6204691.1|
gb|KAF6205159.1|
gb|KAF6215759.1|
gb|KAF6211031.1|
gb|KAF6200646.1|
gb|KAF6216800.1|
gb|KAF6213293.1|
gb|KAF6197851.1|
gb|KAF6212551.1|
gb|KAF6210436.1|
gb|KAG5673013.1|
gb|KAG5673012.1|
gb|KAG5676603.1|
gb|KAG5676604.1|
gb|KAI8130912.1|
gb|KAI8116404.1|
emb|CAH1388393.1|
emb|CAH1388386.1|
emb|CAH1388389.1|
emb|CAH1388388.1|
emb|CAH1388387.1|
emb|CAH1388367.1|
emb|CAH1388392.1|
emb|CAH1388390.1|
emb|CAD6994394.1|
emb|CAB3359964.1|
emb|CAB3362979.1|
emb|CAB3360254.1|
emb|CAB3360255.1|
emb|CAB3360256.1|
emb|CAB3364807.1|
emb|CAB3364808.1|
emb|CAB3360257.1|
emb|CAB3360258.1|
gb|TRY75264.1|
emb|CAG5095999.1|
gb|KAG8042441.1|
emb|CAG5097411.1|
emb|CAH2066547.1|
emb|CAH2066549.1|
emb|CAH2066551.1|
emb|CAH2076751.1|
emb|CAH2076753.1|
emb|CAH2066545.1|
emb|CAH2066543.1|
emb|CAH2066543.1|
emb|CAH2066541.1|
emb|CAH2066541.1|
gb|KAG7201324.1|
gb|KAG7212671.1|
emb|CAH0726637.1|
emb|CAH0714536.1|
emb|CAH0714537.1|
emb|CAH0726632.1|
emb|CAH0726633.1|
emb|CAH0726631.1|
KAI2808467.1
gb|EZA53303.1|
KAA0203922.1
KAA0201437.1
KAA0184655.1
KAA0184656.1
gb|KAF6215493.1|
gb|KAF6214444.1|
gb|KAF6215470.1|
gb|KAF6211782.1|
gb|KAF6215170.1|
gb|KAF6205445.1|
gb|KAF6203717.1|
gb|KAF6201166.1|
gb|KAF6214425.1|
gb|KAF6215665.1|
gb|KAF6206475.1|
gb|KAF6204691.1|
gb|KAF6205159.1|
gb|KAF6215759.1|
gb|KAF6211031.1|
gb|KAF6200646.1|
gb|KAF6216800.1|
gb|KAF6213293.1|
gb|KAF6197851.1|
gb|KAF6212551.1|
gb|KAF6210436.1|
gb|KAG5673013.1|
gb|KAG5673012.1|
